,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset in data table (for modders),0x00 (0),0x04 (4),0x08 (8),0xC (12),0x10 (16),0x14 (20),0x18 (24),0x1C (28),0x20 (32),0x24 (36),0x25 (37),0x26 (38),0x27 (39),0x29 (41),0x2C (44),0x2D (45),0x2E (46),0x2F (47),0x30 (48),0x31 (49),0x32 (50),0x33 (51),0x35 (53),0x37 (55),0x38 (56),0x3C (60),0x40 (64),0x44 (68),0x48 (72),0x4C (76),0x50 (80),0x54 (84),0x5C (92),0x60 (96),0x64 (100),0x65 (101),0x66 (102),0x67 (103),0x68 (104),0x6C (108),0x70 (112),0x74 (116),0x78 (120),0x7C (124),0x80 (128),0x84 (132),0x88 (136),0x8C (140),0x90 (144),0x94 (148),0x98 (152),0x9C (156),0xA0 (160),0xA4 (164),0xA8 (168),0xBC (188),0xC0 (192),0xC4 (196),0xC8 (200),0xCC (204),0xD0 (208),0xD4 (212),0xD8 (216),0xDC (220),0xE0 (224),0xE8 (232),0xEC (236),0xF0 (240),0xF4 (244),0x110 (272),0x130 (304),0x134 (308),0x138 (312),0x13C (316),0x140 (320),0x144 (324),0x148 (328),0x14C (332),0x150 (336),0x154 (340),0x158 (344),0x15C (348),0x160 (352),0x164 (356),0x168 (360),0x16C (364),,,,Params right of here are only useful to modders,0xAC (172),0xB0 (176),0xB4 (180),0xB8 (184),0xE4 (228),0xF8 (248),0xFC (252),0x100 (256),0x104 (260),0x108 (264),0x10C (268),0x114 (276),0x118 (280),0x11C (284),0x120 (288),0x124 (292),0x128 (296),0x12C (300),Total Size
Dakini,613,46,2100,9999,35,36,20,25,23,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,120,100,0,0,4569,710,9,55,0,0,10,10,0,5,,,,,,,,,,Skill_DarkSword (188),Skill_Maragion (10),,,,,,,Skill_CriticalMelody (590),50,50,125,100,100,125,100,100,40,40,40,40,Null (0),40,2,3,-4,0,0,0,0,0,1,-2,0,0,0,613,612,611,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Silky,614,47,1500,9999,22,24,38,26,36,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,100,100,0,0,3086,588,9,55,0,0,10,10,0,2,10 (Amrita Shower),100,,,,,,,,Skill_Bufula (18),Skill_Marakukaja (125),,,,,,,Skill_FrigidMelody (592),100,125,Null (0),100,100,100,100,100,40,125,20,Null (0),40,40,-3,0,3,0,0,0,0,0,0,1,2,2,0,614,613,612,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Sarasvati,615,47,1400,9999,21,26,37,31,29,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,50,50,0,0,3086,588,9,55,0,0,10,10,0,2,38 (Sleep Gem),100,,38 (Sleep Gem),100,,,,,Skill_Lullaby (84),Skill_Mabufula (25),,,,,,,Skill_VinaRaga (579),100,125,Null (0),100,100,100,125,100,40,20,Null (0),40,40,40,0,-4,3,0,0,0,0,0,2,2,0,0,0,615,614,613,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kushinada-Hime,616,47,1300,9999,18,23,40,29,36,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,50,50,0,0,3086,588,9,55,0,0,10,10,0,2,,,,,,,,,,Skill_Mediarama3 (355),Skill_Matarunda (129),,,,,,,Skill_MonstrousOffering (536),100,100,100,100,100,Null (0),125,100,40,40,40,40,40,40,0,0,0,0,0,3,-3,0,0,1,4,4,0,616,615,614,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Yurlungur,617,50,3500,9999,34,30,30,23,34,0,1,0,1,0,1,0,0,3,1,0,1,1,98,5,100,70,0,0,11250,1640,10,55,0,0,10,10,0,5,43 (Charge Gem),100,,44 (Concentrate Gem),100,,,,,Skill_Bufudyne (20),Skill_Diarahan (99),Skill_Ziodyne (35),,,,,,Skill_FicklePersonality (634),100,125,100,Null (0),100,100,100,100,40,40,40,40,125,40,0,0,3,2,0,0,0,0,-5,1,1,1,0,617,616,615,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Scathach,618,61,4500,9999,38,42,35,31,55,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,100,70,0,0,10869,1446,12,55,0,0,10,10,0,2,53 (Magic Mirror),100,,,,,,,,Skill_Mahamaon (71),Skill_Makajamaon (94),Skill_MistRush (189),,,,,,Skill_WarriorTrainer (572),100,100,100,125,Null (0),50,100,100,40,40,40,40,20,40,1,0,0,-5,3,0,0,0,2,0,2,2,0,618,617,616,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Cybele,619,61,4500,9999,40,48,40,29,51,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,100,100,0,0,10869,1446,12,55,0,0,10,10,0,2,53 (Magic Mirror),100,,,,,,,,Skill_Maragidyne (11),Skill_SexyDance (92),Skill_DarkSword (188),,,,,,Skill_Megalomania (608),100,50,100,125,100,Null (0),100,100,40,40,40,40,40,125,4,2,0,-6,0,0,0,0,0,0,2,2,0,619,618,617,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Yamata-no-Orochi,620,67,11000,9999,67,51,31,30,43,0,1,0,1,0,1,0,0,2,1,0,1,1,98,5,100,100,0,0,26865,3480,13,55,0,0,10,10,0,2,52 (Attack Mirror),100,,52 (Attack Mirror),100,,,,,Skill_Titanomachia (168),Skill_DragonEye (479),,,,,,,Skill_BrewingStorm (542),100,Null (0),Null (0),125,100,100,100,100,125,125,40,125,40,40,4,3,0,-2,0,0,0,0,-5,0,0,0,0,620,619,618,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Slime,621,99,1800,9999,72,104,36,64,84,0,1,0,1,0,1,0,0,2,1,0,1,1,98,5,100,100,0,0,4441,1236,19,55,0,0,10,10,0,1,6 (Soma),100,,110 (Large Glory Crystal),100,,,,,Skill_Lunge (157),Skill_Poisma (85),Skill_PoisonAdept (470),Skill_PoisonMaster (471),Skill_NullPhys (402),,,,Skill_DeathlyAffliction (587),Null (0),125,125,125,125,125,100,100,50,100,100,100,100,100,0,-3,-3,-3,-3,-3,0,0,2,-1,0,0,0,621,620,619,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Pixie,622,99,1400,9999,36,56,104,92,72,0,1,0,1,0,1,0,0,2,1,0,1,1,98,5,100,70,0,0,4441,1236,19,55,0,0,10,10,0,1,,,,,,,,,,Skill_Zan (46),Skill_Dia4 (381),Skill_HealPleroma (499),Skill_HighHealPleroma (500),Skill_NullElec (414),Skill_NullForce (418),,,Skill_DemonicMediation (533),100,100,100,Null (0),Null (0),100,125,100,100,125,100,100,100,100,0,0,0,0,1,0,0,0,-1,1,1,1,0,622,621,620,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Yatagarasu,623,59,2110,9999,34,36,35,47,40,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,100,100,0,0,6705,908,11,55,0,0,10,10,0,2,,,,,,,,,,Skill_WindBreath (59),Skill_Hamaon (68),Skill_Diarahan (99),,,,,,Skill_Helmsman (654),100,100,100,100,50,Null (0),125,100,40,40,125,40,40,40,0,0,0,0,2,4,-7,0,0,2,2,2,0,623,622,621,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Throne,624,59,2090,9999,26,32,52,39,43,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,100,70,0,0,6705,908,11,55,0,0,10,10,0,2,106 (Healing Sutra),100,,,,,,,,Skill_Hamaon (68),Skill_Maragidyne (11),Skill_Mediarama4 (384),,,,,,Skill_LightedWheel (673),100,Null (0),125,100,100,Null (0),125,100,40,40,40,40,40,40,0,4,-3,0,0,4,-6,0,0,0,1,1,0,624,623,622,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Mitra,625,59,2200,9999,44,38,39,38,39,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,100,100,0,0,6705,908,11,55,0,0,10,10,0,2,,,,,,,,,,Skill_Hamaon (68),Skill_Megidola (74),Skill_Diamrita (150),,,,,,Skill_RighteousSentence_PassivePart (685),100,100,125,100,100,Null (0),50,100,40,40,40,40,40,40,0,0,-5,0,0,3,3,2,0,0,3,3,0,625,624,623,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Rangda,626,63,6500,9999,48,28,59,35,36,0,1,0,1,0,1,0,0,2,1,0,1,1,98,5,100,100,0,0,23406,3084,12,55,0,0,10,10,0,2,105 (Destruction Sutra),100,,,,,,,,Skill_WindBreath (59),Skill_NihilClaw (197),Skill_Makarakarn (140),,,,,,Skill_ForceGestalt (650),Repel (999),125,100,125,100,125,100,100,40,40,40,125,40,40,3,0,0,-5,3,-3,0,0,0,0,1,1,0,626,625,624,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Skadi,627,65,2280,9999,35,39,45,38,43,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,100,100,0,0,8372,819,13,55,0,0,10,10,0,2,84 (Health Balm),100,,,,,,,,Skill_Mabufudyne (26),Skill_Mamudoon (65),,,,,,,Skill_IceEnhancer (601),100,125,50,100,100,100,Null (0),100,40,40,40,40,Null (0),40,0,-5,4,0,0,0,3,0,1,0,0,0,0,627,626,625,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Atavaka,628,65,2490,9999,45,50,39,31,38,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,100,100,0,0,8372,819,13,55,0,0,10,10,0,2,85 (Stamina Balm),100,,,,,,,,Skill_WhiteDracostrike (245),Skill_Mamudoon (65),,,,,,,Skill_FocusedAssault (656),100,100,125,100,100,Null (0),Null (0),100,40,40,40,40,40,40,4,0,-5,0,0,2,2,0,0,0,0,0,0,628,627,626,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Barong,629,65,2370,9999,43,42,40,36,43,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,100,100,0,0,8372,819,13,55,0,0,10,10,0,2,,,,,,,,,,Skill_Maziodyne (41),Skill_DamascusClaw (196),,,,,,,Skill_ElecGestalt (649),100,100,100,Null (0),125,Null (0),125,100,20,40,40,40,40,40,3,0,0,4,-3,0,-3,0,0,1,0,0,0,629,628,627,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Siegfried,630,65,2440,9999,55,43,31,34,37,0,1,0,1,0,1,0,0,1,1,0,1,1,98,5,100,100,0,0,8372,819,13,55,0,0,10,10,0,2,,,,,,,,,,Skill_HadesBlast (163),Skill_MortalJihad (159),,,,,,,Skill_DragonsBlood (553),Drain (1000),100,100,100,125,125,125,100,40,40,40,40,125,125,6,0,0,0,0,-5,-5,-5,0,1,-4,-4,0,630,629,628,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,631,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,631,630,629,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,632,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,632,631,630,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,633,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,633,632,631,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,634,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,634,633,632,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,635,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,635,634,633,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,636,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,636,635,634,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,637,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,637,636,635,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,638,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,638,637,636,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,639,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,639,638,637,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,640,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,640,639,638,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kaya-no-Hime,641,16,714,121,6,9,17,14,11,0,1,0,0,0,1,0,0,1,1,0,1,1,98,5,100,200,0,0,257,34,3,78,0,0,10,10,0,100,,,,,,,,,,Skill_Zan (46),Skill_HarvestDance2 (314),Skill_HystericalSlap (182),,,,,,Skill_DemonicMediation (533),100,125,100,100,50,100,125,100,125,100,50,50,100,100,0,-4,0,0,2,0,0,0,-2,2,3,3,0,641,640,639,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,642,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,642,641,640,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,643,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,643,642,641,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,644,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,644,643,642,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,645,1,57,47,5,6,4,3,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,645,644,643,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,646,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,646,645,644,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,647,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,647,646,645,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,648,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,648,647,646,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,649,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,649,648,647,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,650,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,650,649,648,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,651,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,651,650,649,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,652,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,652,651,650,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,653,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,653,652,651,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,654,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,654,653,652,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,655,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,655,654,653,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,656,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,656,655,654,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,657,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,657,656,655,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,658,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,658,657,656,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,659,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,659,658,657,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,660,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,660,659,658,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,661,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,661,660,659,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,662,1,57,47,5,6,4,3,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,662,661,660,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,663,1,43,64,4,4,3,6,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,663,662,661,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,664,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,664,663,662,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,665,1,57,47,5,6,4,3,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,665,664,663,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,666,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,666,665,664,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,667,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,667,666,665,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,668,1,48,55,4,5,4,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,0,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,668,667,666,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
